Tarih,Fon Kodu,Fon Adı,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
2/1/2024,HMG,HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON(HİSSE SENEDİ YOĞUN FON),"0,028599","28790467992,00",713,"823390337,23"
2/1/2024,HMK,HEDEF PORTFÖY EGE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"191,340516","2216874,00",179,"424177814,96"
2/1/2024,HMS,HSBC PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),"0,055237","5433958156,00",2090,"300154617,98"
2/1/2024,HMV,HEDEF PORTFÖY MAVİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"7,976993","35287982,00",15,"281491980,50"
2/1/2024,HPF,HEDEF PORTFÖY KUZEY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"24,344863","9033040,00",10,"219908121,09"
2/1/2024,HPI,HEDEF PORTFÖY İDEAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"5,977786","98562,00",10,"589182,59"
2/1/2024,HPL,HEDEF PORTFÖY ÇINAR HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"6,633819","73199,00",10,"485588,90"
2/1/2024,HPU,HEDEF PORTFÖY ULUDAĞ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),"0,042684","2306882,00",1,"98466,33"
2/1/2024,HPZ,HEDEF PORTFÖY ZEN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN),"268,108935","2439883,00",45,"654154431,88"
2/1/2024,HVA,HEDEF PORTFÖY ECE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"17,624834","3580652,00",46,"63108397,90"
2/1/2024,HVB,HEDEF PORTFÖY PUSULA HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"0,565909","1153728243,00",20,"652904818,79"
2/1/2024,HVC,HEDEF PORTFÖY ROTA HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"71,382561","85780,00",46,"6123196,07"
2/1/2024,HVL,HEDEF PORTFÖY POYRAZ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"7,960571","531027,00",44,"4227278,05"
2/1/2024,HVN,HEDEF PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"2,897473","18942519,00",19,"54885445,01"
4/1/2024,YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),"12,27","1097187672,00",108063,"13.459.662.514,21"
2/1/2024,HVZ,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),"4,211127","103068105,00",6340,"434032916,30"
2/1/2024,IAS,QİNVEST PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),"1,237299","1427940652,00",2,"1766789036,88"
2/1/2024,ICF,ICBC TURKEY PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),"107,601957","461836,00",1213,"49694457,53"
3/29/2024,YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),"12,27","1096009215,00",107138,"13.452.321.644,91"
